system:index,Code Departamento,Code Provincia,Date (YMD),Departamento,Provincia,codeRio,distanciaRio,elevacion_m,estacion,fecha0,fechas,hayRioCercano,idx,lat,lon,pendiente_grados,precipitation_sum,runoff_sum,temperature_2m,tipoDeSuelo,total_evaporation_sum,volumetric_soil_water_layer_1,.geo
2207,06497,6,3/10/1992,Lujan,Buenos Aires,7-7,7.25,39,primavera,1992-09-28,"[1992-09-28, 1992-09-29, 1992-09-30, 1992-10-01, 1992-10-02, 1992-10-03, 1992-10-04]",true,2207,-34.4619848,-59.1744878,0.93,"[0, 0, 0, 7.5, 5.5, 0, 1.9]",1.0150671005249023E-4,286.0453993479411,Complejo indiferenci,-0.003201398067176342,0.4144630432128906,"{""type"":""Point"",""coordinates"":[-59.1744878,-34.4619848]}"
2208,06469,6,6/1/2003,Lincoln,Buenos Aires,6811-2213,67.93,98,verano,2003-01-06,"[2003-01-06, 2003-01-07, 2003-01-08, 2003-01-09, 2003-01-10, 2003-01-11, 2003-01-12]",false,2208,-35.4981702,-61.8064882,6.77,"[0, 0, 12.8, 0, 2, 0, 0.4]",1.8548965454101562E-4,296.07611147562665,Lagunas,-0.006992926821112633,0.42691993713378906,"{""type"":""Point"",""coordinates"":[-61.8064882,-35.4981702]}"
2209,06441,6,22/1/2009,La Plata,Buenos Aires,3314-1708,23.31,26,verano,2009-01-19,"[2009-01-19, 2009-01-20, 2009-01-21, 2009-01-22, 2009-01-23, 2009-01-24, 2009-01-25]",false,2209,-35.03880607,-58.05930616,0.93,"[0, 0, 0, 0, 0, 0, 1.2]",3.2186508178710938E-6,292.43096987406415,Complejo indiferenci,-0.0028396444395184517,0.34382057189941406,"{""type"":""Point"",""coordinates"":[-58.05930616,-35.03880607000001]}"
2210,06406,6,11/10/1994,Hipolito Yrigoyen,Buenos Aires,36845-7243,77.29,102,primavera,1994-10-10,"[1994-10-10, 1994-10-11, 1994-10-12, 1994-10-13, 1994-10-14, 1994-10-15, 1994-10-16]",false,2210,-36.1793412,-61.6445672,1.15,"[0, 5.5, 5.9, 0, 0, 7, 15.5]",5.125999450683594E-5,288.42428906758624,Molisoles,-0.0033959271386265755,0.23806381225585938,"{""type"":""Point"",""coordinates"":[-61.6445672,-36.1793412]}"
2211,06224,6,19/6/2000,Chivilcoy,Buenos Aires,6954-2111,10.95,56,otoño,2000-06-19,"[2000-06-19, 2000-06-20, 2000-06-21, 2000-06-22, 2000-06-23, 2000-06-24, 2000-06-25]",true,2211,-34.9440654,-60.1765372,1.46,"[0, 0, 0, 0, 0.9, 17.8, 0]",3.097951412200928E-5,280.07758140563965,Alfisoles,-9.776204824447632E-4,0.4658457438151042,"{""type"":""Point"",""coordinates"":[-60.1765372,-34.9440654]}"
2212,06147,6,16/1/1995,Carlos Casares,Buenos Aires,36845-7243,60.46,84,verano,1995-01-16,"[1995-01-16, 1995-01-17, 1995-01-18, 1995-01-19, 1995-01-20, 1995-01-21, 1995-01-22]",false,2212,-35.83601,-61.43436,1.47,"[14, 0, 0, 1.7, 0, 0, 0.3]",1.2163817882537842E-4,295.9447104136149,Molisoles,-0.004987318068742752,0.33786582946777344,"{""type"":""Point"",""coordinates"":[-61.43436,-35.83601]}"
2213,06126,6,2/4/2008,Campana,Buenos Aires,26206-5876,0.02,4,otoño,2008-03-31,"[2008-03-31, 2008-04-01, 2008-04-02, 2008-04-03, 2008-04-04, 2008-04-05, 2008-04-06]",true,2213,-34.059934,-58.836065,2.91,"[1.1, 0, 0.5, 0, 0, 0, 0]",7.316470146179199E-6,292.7497895558675,Rio,-0.0031710853800177574,0.48392486572265625,"{""type"":""Point"",""coordinates"":[-58.836065000000005,-34.059934]}"
2214,06119,6,21/8/2015,Brandsen,Buenos Aires,7058-2230,12.02,27,invierno,2015-08-17,"[2015-08-17, 2015-08-18, 2015-08-19, 2015-08-20, 2015-08-21, 2015-08-22, 2015-08-23]",true,2214,-34.9854674,-58.1762428,1.46,"[1.8, 0, 0, 0, 0, 1.1, 0]",3.889203071594238E-5,285.1382465362549,Molisoles,-5.027269944548607E-4,0.4575672149658203,"{""type"":""Point"",""coordinates"":[-58.176242800000004,-34.98546739999999]}"
2215,06112,6,5/1/2005,Bragado,Buenos Aires,6954-2111,27.83,62,verano,2005-01-03,"[2005-01-03, 2005-01-04, 2005-01-05, 2005-01-06, 2005-01-07, 2005-01-08, 2005-01-09]",false,2215,-35.2410531,-60.3474272,1.47,"[0.4, 0, 0.2, 0.1, 0.8, 15.5, 0]",3.197789192199707E-5,299.6641496022542,Molisoles,-0.004058527760207653,0.17530250549316406,"{""type"":""Point"",""coordinates"":[-60.3474272,-35.24105310000001]}"
2216,06077,6,2/10/1994,Bartolome Mitre,Buenos Aires,6745-2129,17.6,31,primavera,1994-09-26,"[1994-09-26, 1994-09-27, 1994-09-28, 1994-09-29, 1994-09-30, 1994-10-01, 1994-10-02]",false,2216,-33.9628001,-59.8615291,2.16,"[0, 0, 3.6, 0, 0, 0, 3.5]",6.54458999633789E-5,287.30820910135907,Molisoles,-0.0034133903682231903,0.4474830627441406,"{""type"":""Point"",""coordinates"":[-59.861529100000006,-33.9628001]}"
2217,06049,6,11/3/2002,Azul,Buenos Aires,32742-6427,7.78,205,verano,2002-03-11,"[2002-03-11, 2002-03-12, 2002-03-13, 2002-03-14, 2002-03-15, 2002-03-16, 2002-03-17]",true,2217,-37.0314689,-59.6042326,2.5,"[0, 0, 2, 0, 29.6, 15.4, 0]",6.237626075744629E-5,290.57991154988605,Molisoles,-0.003844323568046093,0.45952097574869794,"{""type"":""Point"",""coordinates"":[-59.604232599999996,-37.0314689]}"
2218,06274,6,5/4/2004,Florencio Varela,Buenos Aires,7058-2230,1.42,23,otoño,2004-04-05,"[2004-04-05, 2004-04-06, 2004-04-07, 2004-04-08, 2004-04-09, 2004-04-10, 2004-04-11]",true,2218,-34.8275807,-58.222912,0,"[0, 4.6, 0.2, 8.9, 0, 1.8, 1.2]",3.8951635360717773E-5,298.23808034261066,Complejo indiferenci,-0.001134331338107586,0.268951416015625,"{""type"":""Point"",""coordinates"":[-58.22291200000001,-34.8275807]}"
