Nombre,Code Departamento,lat,lon,Provincia
ESCALANTE,26021,-45.89050293,-68.06896973,CHUBUT
ALUMINE,58007,-39.30917583,-70.92970664,NEUQUÉN
AVELLANEDA,62014,-39.60125657,-65.49681844,RÍO NEGRO
GENERAL PEDERNERA,74035,-33.7828408,-65.72200942,SAN LUIS
GENERAL JUAN F QUIROGA,46070,-30.75595424,-66.66826174,LA RIOJA
TRES LOMAS,06847,-36.499723,-62.6930571,BUENOS AIRES
LIBERTADOR GENERAL SAN MARTÍN,54077,-26.78501255,-54.90115103,MISIONES
LONCOPUE,58063,-38.14383318,-70.528734,NEUQUÉN
SAN CARLOS,50091,-33.67094361,-68.98052274,MENDOZA
COCHINOCA,38007,-22.84146227,-66.07927857,JUJUY
CURUZU CUATIA,18035,-29.30959977,-58.51285545,CORRIENTES
QUEBRACHOS,86140,-29.79049,-63.18682,SANTIAGO DEL ESTERO
SAN CRISTOBAL,82091,-29.88749922,-61.57182768,SANTA FE
BELGRANO,86042,-28.89628,-62.62596,SANTIAGO DEL ESTERO
CORONEL PRINGLES,74021,-33.12074849,-65.96684395,SAN LUIS
PELLEGRINI,86133,-26.28318787,-64.45684052,SANTIAGO DEL ESTERO
CAPITAL,50007,-32.87749385,-68.85278707,MENDOZA
GENERAL SAN MARTIN,06371,-34.56734338,-58.58431125,BUENOS AIRES
QUEMU QUEMU,42119,-36.20842743,-63.70277786,LA PAMPA
GUALEGUAYCHU,30056,-33.15450509,-58.98890113,ENTRE RÍOS
PUNILLA,14091,-31.10580063,-64.59128571,CÓRDOBA
LAVALLE,18091,-28.9356733,-58.8052348,CORRIENTES
CERRILLOS,66035,-24.95319832,-65.42243492,SALTA
PRESIDENTE PERON,06648,-34.9075871,-58.4348955,BUENOS AIRES
ALBERTI,06021,-35.23729324,-60.30303192,BUENOS AIRES
CHACABUCO,22028,-27.37689119,-60.85868532,CHACO
LACAR,58056,-40.20055771,-71.06008911,NEUQUÉN
FLORENTINO AMEGHINO,26028,-44.3381691,-65.23617554,CHUBUT
TULUMBA,14175,-29.9823914,-64.49000783,CÓRDOBA
GENERAL ÁNGEL VERA PEÑALOZA,46056,-30.51572228,-66.86412811,LA RIOJA
RIVADAVIA,66133,-22.49881,-62.40759,SALTA
CHALILEO,42049,-36.63620803,-66.47691656,LA PAMPA
BOLIVAR,06105,-36.002259,-60.623087,BUENOS AIRES
